schema_version,method,lattice,bath_budget,u_over_d,t_over_d,direction,quasiparticle_weight_slope,quasiparticle_weight_matsubara,double_occupancy,kinetic_energy_over_d,total_energy_over_d,sum_r_squared,self_energy_linear_term,iterations,convergence_diff,converged,crashed,mode_energies,mode_weights,self_energy_pole_positions,self_energy_pole_weights,wall_seconds,source_file
gdmft.reference.v1,gem-gga,bethe,1,0.5,0.001,down,0.978312718109739,0.9783127183050255,0.2131836617808556,-0.41520000845633676,-0.30860817756590897,0.9783127183050258,-0.0221680463610332,6,4.992665477709934e-07,true,false,1.78078e-15,0.978313,,,0.15,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,0.5,0.001,up,0.9783127672545182,0.9783127668251965,0.21318366589028367,-0.4152000290487122,-0.3086081961035704,0.9783127668251966,-0.02216799566582628,9,3.888703545840144e-07,true,false,1.45737e-15,0.978313,,,1.5,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,0.6,0.001,down,0.9687702933121448,0.96877029351077,0.2058203794832204,-0.4111501215031867,-0.28765789381325446,0.9687702935107702,-0.03223644108249357,6,7.228104004219915e-07,true,false,5.3749e-16,0.96877,,,0.15,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,0.6,0.001,up,0.9687709028602635,0.9687709014519982,0.20582043917429957,-0.41115037951867356,-0.2876581160140938,0.9687709014519982,-0.03223579331418347,6,6.069486045978678e-07,true,false,6.45491e-16,0.968771,,,0.13,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,0.7,0.001,down,0.9574932191658065,0.957493221066873,0.1984571278741091,-0.40636403466303395,-0.2674440451511576,0.9574932210668733,-0.04439381710270918,7,2.4592729308547945e-07,true,false,3.50998e-16,0.957493,,,0.17,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,0.7,0.001,up,0.9574937688024174,0.9574937701627515,0.19845718834787673,-0.4063642677040765,-0.2674442358605628,0.9574937701627517,-0.04439321817208608,6,9.020719171637381e-07,true,false,9.75068e-16,0.957494,,,0.13,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,0.8,0.001,down,0.9444808886064345,0.944480889724982,0.19109384364449464,-0.40084148821973825,-0.24796641330414254,0.9444808897249821,-0.05878267191958142,7,3.759962750038426e-07,true,false,1.25428e-15,0.944481,,,0.17,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,0.8,0.001,up,0.9444812426631104,0.9444812436996068,0.19109388630052995,-0.4008416384496539,-0.24796652940922995,0.9444812436996067,-0.058782275106832094,7,3.2771021007960144e-07,true,false,7.14566e-16,0.944481,,,0.15,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,0.9,0.001,down,0.9297335312877516,0.9297335319315493,0.1837305481029626,-0.3945825804606537,-0.22922508716798734,0.9297335319315495,-0.07557699669331042,7,5.80733995558802e-07,true,false,1.90168e-16,0.929734,,,0.17,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,0.9,0.001,up,0.9297341118955493,0.9297341125074161,0.18373062318682665,-0.3945828268621565,-0.22922526599401252,0.9297341125074164,-0.07557632504532097,7,5.116813558414535e-07,true,false,5.07914e-16,0.929734,,,0.15,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
