lattice,M_g,U_over_D,T_over_D,n_bare_attempts,has_bare_native,has_R_converted_from_bare,has_R_reoptimized_from_bare,has_R_native_continuation,gem_reference
bethe,1,0.5,0.001,7,1,1,0,0,1
bethe,1,0.5,0.002,0,0,0,0,0,1
bethe,1,0.5,0.003,0,0,0,0,0,1
bethe,1,0.5,0.004,0,0,0,0,0,1
bethe,1,0.5,0.005,0,0,0,0,0,1
bethe,1,0.5,0.0065,0,0,0,0,0,1
bethe,1,0.5,0.008,0,0,0,0,0,1
bethe,1,0.5,0.01,7,1,1,0,0,1
bethe,1,0.5,0.015,0,0,0,0,0,1
bethe,1,0.5,0.02,0,0,0,0,0,1
bethe,1,0.5,0.025,7,1,1,0,0,1
bethe,1,0.5,0.03,0,0,0,0,0,1
bethe,1,0.5,0.05,7,1,1,0,0,1
bethe,1,0.5,0.07,0,0,0,0,0,1
bethe,1,0.5,0.1,7,1,1,0,0,1
bethe,1,0.5,0.15,0,0,0,0,0,1
bethe,1,0.5,0.2,7,1,1,0,0,1
bethe,1,0.6,0.001,2,1,1,0,0,1
bethe,1,0.6,0.002,0,0,0,0,0,1
bethe,1,0.6,0.003,0,0,0,0,0,1
bethe,1,0.6,0.004,0,0,0,0,0,1
bethe,1,0.6,0.005,0,0,0,0,0,1
bethe,1,0.6,0.0065,0,0,0,0,0,1
bethe,1,0.6,0.008,0,0,0,0,0,1
bethe,1,0.6,0.01,2,1,1,0,0,1
bethe,1,0.6,0.015,0,0,0,0,0,1
bethe,1,0.6,0.02,0,0,0,0,0,1
bethe,1,0.6,0.025,2,1,1,0,0,1
bethe,1,0.6,0.03,0,0,0,0,0,1
bethe,1,0.6,0.05,2,1,1,0,0,1
bethe,1,0.6,0.07,0,0,0,0,0,1
bethe,1,0.6,0.1,2,1,1,0,0,1
bethe,1,0.6,0.15,0,0,0,0,0,1
bethe,1,0.6,0.2,2,1,1,0,0,1
bethe,1,0.7,0.001,2,1,1,0,0,1
bethe,1,0.7,0.002,0,0,0,0,0,1
bethe,1,0.7,0.003,0,0,0,0,0,1
bethe,1,0.7,0.004,0,0,0,0,0,1
bethe,1,0.7,0.005,0,0,0,0,0,1
bethe,1,0.7,0.0065,0,0,0,0,0,1
bethe,1,0.7,0.008,0,0,0,0,0,1
bethe,1,0.7,0.01,2,1,1,0,0,1
bethe,1,0.7,0.015,0,0,0,0,0,1
bethe,1,0.7,0.02,0,0,0,0,0,1
bethe,1,0.7,0.025,2,1,1,0,0,1
bethe,1,0.7,0.03,0,0,0,0,0,1
bethe,1,0.7,0.05,2,1,1,0,0,1
bethe,1,0.7,0.07,0,0,0,0,0,1
bethe,1,0.7,0.1,2,1,1,0,0,1
bethe,1,0.7,0.15,0,0,0,0,0,1
bethe,1,0.7,0.2,2,1,1,0,0,1
bethe,1,0.8,0.001,2,1,1,0,0,1
bethe,1,0.8,0.002,0,0,0,0,0,1
bethe,1,0.8,0.003,0,0,0,0,0,1
bethe,1,0.8,0.004,0,0,0,0,0,1
bethe,1,0.8,0.005,0,0,0,0,0,1
bethe,1,0.8,0.0065,0,0,0,0,0,1
bethe,1,0.8,0.008,0,0,0,0,0,1
bethe,1,0.8,0.01,2,1,1,0,0,1
bethe,1,0.8,0.015,0,0,0,0,0,1
bethe,1,0.8,0.02,0,0,0,0,0,1
bethe,1,0.8,0.025,2,1,1,0,0,1
bethe,1,0.8,0.03,0,0,0,0,0,1
bethe,1,0.8,0.05,2,1,1,0,0,1
bethe,1,0.8,0.07,0,0,0,0,0,1
bethe,1,0.8,0.1,2,1,1,0,0,1
bethe,1,0.8,0.15,0,0,0,0,0,1
bethe,1,0.8,0.2,2,1,1,0,0,1
bethe,1,0.9,0.001,2,1,1,0,0,1
bethe,1,0.9,0.002,0,0,0,0,0,1
bethe,1,0.9,0.003,0,0,0,0,0,1
bethe,1,0.9,0.004,0,0,0,0,0,1
bethe,1,0.9,0.005,0,0,0,0,0,1
bethe,1,0.9,0.0065,0,0,0,0,0,1
bethe,1,0.9,0.008,0,0,0,0,0,1
bethe,1,0.9,0.01,2,1,1,0,0,1
bethe,1,0.9,0.015,0,0,0,0,0,1
bethe,1,0.9,0.02,0,0,0,0,0,1
bethe,1,0.9,0.025,2,1,1,0,0,1
bethe,1,0.9,0.03,0,0,0,0,0,1
bethe,1,0.9,0.05,2,1,1,0,0,1
bethe,1,0.9,0.07,0,0,0,0,0,1
bethe,1,0.9,0.1,2,1,1,0,0,1
bethe,1,0.9,0.15,0,0,0,0,0,1
bethe,1,0.9,0.2,2,1,1,0,0,1
bethe,1,1.0,0.001,7,1,1,0,0,1
bethe,1,1.0,0.002,0,0,0,0,0,1
bethe,1,1.0,0.003,0,0,0,0,0,1
bethe,1,1.0,0.004,0,0,0,0,0,1
bethe,1,1.0,0.005,0,0,0,0,0,1
bethe,1,1.0,0.0065,0,0,0,0,0,1
bethe,1,1.0,0.008,0,0,0,0,0,1
bethe,1,1.0,0.01,2,1,1,0,0,1
bethe,1,1.0,0.015,0,0,0,0,0,1
bethe,1,1.0,0.02,0,0,0,0,0,1
bethe,1,1.0,0.025,2,1,1,0,0,1
bethe,1,1.0,0.03,0,0,0,0,0,1
bethe,1,1.0,0.05,2,1,1,0,0,1
bethe,1,1.0,0.07,0,0,0,0,0,1
bethe,1,1.0,0.1,2,1,1,0,0,1
bethe,1,1.0,0.15,0,0,0,0,0,1
bethe,1,1.0,0.2,2,1,1,0,0,1
bethe,1,1.1,0.001,2,1,1,0,0,1
bethe,1,1.1,0.002,0,0,0,0,0,1
bethe,1,1.1,0.003,0,0,0,0,0,1
bethe,1,1.1,0.004,0,0,0,0,0,1
bethe,1,1.1,0.005,0,0,0,0,0,1
bethe,1,1.1,0.0065,0,0,0,0,0,1
bethe,1,1.1,0.008,0,0,0,0,0,1
bethe,1,1.1,0.01,2,1,1,0,0,1
bethe,1,1.1,0.015,0,0,0,0,0,1
bethe,1,1.1,0.02,0,0,0,0,0,1
bethe,1,1.1,0.025,2,1,1,0,0,1
bethe,1,1.1,0.03,0,0,0,0,0,1
bethe,1,1.1,0.05,2,1,1,0,0,1
bethe,1,1.1,0.07,0,0,0,0,0,1
bethe,1,1.1,0.1,2,1,1,0,0,1
bethe,1,1.1,0.15,0,0,0,0,0,1
bethe,1,1.1,0.2,2,1,1,0,0,1
bethe,1,1.2,0.001,2,1,1,0,0,1
