lattice,N_b,U_over_D,direction,temperature_semantics,T_over_D,bath_fit_beta,llk_role,Z,docc,ekin,etot,n_imp,fit_cost_half_chi2,dDelta,iters,converged,bath_optimizer
bethe,1,0.0,up,ground_state,0,200,reproduction,0.9999999999999789,0.24999999999999967,-0.4241164756700899,-0.4241164756700899,0.9999999999999989,6.132090211740837,0.0,3,1,levenberg_marquardt
bethe,1,0.1,up,ground_state,0,200,reproduction,0.9697215124823527,0.21710554295367224,-0.42226003598413675,-0.4005494816887695,0.9999999999999996,6.092631298427558,8.798723721836765e-09,8,1,levenberg_marquardt
bethe,1,0.2,up,ground_state,0,200,reproduction,0.8887398385595211,0.18578529539429656,-0.41676444705649074,-0.37960738797763144,1.0000000000000004,5.97525998733912,9.041320914171536e-09,12,1,levenberg_marquardt
bethe,1,0.3,up,ground_state,0,200,reproduction,0.7795579786714787,0.1572631107960296,-0.40784620599093074,-0.36066727275212185,0.9999999999999993,5.785006100445765,6.073827718555691e-09,15,1,levenberg_marquardt
bethe,1,0.4,up,ground_state,0,200,reproduction,0.6642379816497143,0.1322275083586838,-0.39585063193224057,-0.34295962858876705,1.0000000000000002,5.529288500277163,5.269243014138785e-09,17,1,levenberg_marquardt
bethe,1,0.5,up,ground_state,0,200,reproduction,0.556967705406475,0.11085219480110582,-0.38122941636594576,-0.32580331896539283,0.9999999999999996,5.217952594116362,7.242647953598089e-09,18,1,levenberg_marquardt
bethe,1,0.6,up,ground_state,0,200,reproduction,0.4639424247953721,0.09294244232050593,-0.364510991095086,-0.30874552570278246,0.9999999999999994,4.86264073148467,8.815311869359022e-09,19,1,levenberg_marquardt
bethe,1,0.7,up,ground_state,0,200,reproduction,0.3862442954787497,0.07810448172037242,-0.34626581674160856,-0.29159267953734785,1.0000000000000002,4.476074316746678,9.955365531943998e-09,20,1,levenberg_marquardt
bethe,1,0.8,up,ground_state,0,200,reproduction,0.32252168288311084,0.06587713154815633,-0.3270695209114159,-0.2743678156728908,0.9999999999999991,4.07126674852705,5.661335567008763e-09,22,1,levenberg_marquardt
bethe,1,0.9,up,ground_state,0,200,reproduction,0.27061551568808645,0.05581159166528076,-0.30746749300527026,-0.25723706050651757,1.0,3.6607466298980005,6.094003801582225e-09,23,1,levenberg_marquardt
bethe,1,1.0,up,ground_state,0,200,reproduction,0.22833962304031877,0.04750957827753646,-0.2879447026421202,-0.24043512436458372,0.9999999999999998,3.255852430707275,6.5792186143555805e-09,24,1,levenberg_marquardt
bethe,1,1.1,up,ground_state,0,200,reproduction,0.19377943960929364,0.04063535765224823,-0.26890398975708385,-0.22420509633961078,1.0,2.866194142835909,7.120964484741421e-09,25,1,levenberg_marquardt
bethe,1,1.2,up,ground_state,0,200,reproduction,0.16536214043378603,0.03491412170866384,-0.2506547015576643,-0.20875775550726766,0.9999999999999998,2.4993205643677148,7.86071885361395e-09,26,1,levenberg_marquardt
bethe,1,1.3,up,ground_state,0,200,reproduction,0.1418342431052097,0.03012456474631809,-0.23341174515123705,-0.19424981098102354,1.0,2.1606156097056566,8.742499502112366e-09,27,1,levenberg_marquardt
bethe,1,1.4,up,ground_state,0,200,reproduction,0.12221023647514198,0.026089896082600938,-0.21730334488726172,-0.18077749037162041,1.0,1.8533989999977876,9.84301595785553e-09,28,1,levenberg_marquardt
bethe,1,1.5,up,ground_state,0,200,reproduction,0.10571870158462013,0.02266927159293488,-0.2023846204833543,-0.16838071309395197,0.9999999999999997,1.5791768174783356,8.143314578214033e-09,30,1,levenberg_marquardt
bethe,1,1.6,up,ground_state,0,200,reproduction,0.09175528123124944,0.019750399883013685,-0.18865380223337425,-0.15705316242055234,1.0,1.337974895704091,6.546947872720944e-09,32,1,levenberg_marquardt
bethe,1,1.7,up,ground_state,0,200,reproduction,0.0798445828465795,0.017243472120437146,-0.17606835736661602,-0.14675445476187288,0.9999999999999997,1.1286917102596163,0.0,33,1,levenberg_marquardt
bethe,1,1.8,up,ground_state,0,200,reproduction,0.06961039071361698,0.015076311823154363,-0.16455920538019544,-0.1374218440985176,0.9999999999999993,0.949426416171073,9.276202917021878e-09,35,1,levenberg_marquardt
bethe,1,1.9,up,ground_state,0,200,reproduction,0.06075275279209992,0.013190553157251027,-0.15404214595942375,-0.1289800949606468,1.0000000000000004,0.7977570007558288,6.5232377277625574e-09,38,1,levenberg_marquardt
bethe,1,2.0,up,ground_state,0,200,reproduction,0.0530304156771024,0.01153863782794496,-0.14442634996652726,-0.12134907431063734,0.9999999999999993,0.6709611975299865,8.476792157715226e-09,40,1,levenberg_marquardt
bethe,1,2.05,up,ground_state,0,200,reproduction,0.0495322597756732,0.01078787300823238,-0.1399277247469784,-0.11781258508010202,1.0000000000000002,0.6160005079185236,0.0,42,1,levenberg_marquardt
bethe,1,2.1,up,ground_state,0,200,reproduction,0.04624734144664898,0.010081453694336466,-0.13562025440840636,-0.11444920165029979,1.0,0.5661851659568972,8.655427042203748e-09,43,1,levenberg_marquardt
bethe,1,2.15,up,ground_state,0,200,reproduction,0.04315650614838448,0.009415502863086412,-0.1314930055843544,-0.11124967442871861,0.9999999999999996,0.5211586106235719,7.851435057659728e-09,45,1,levenberg_marquardt
bethe,1,2.2,up,ground_state,0,200,reproduction,0.040242240668013504,0.008786456618861934,-0.1275353913638939,-0.10820518680239766,1.0,0.48057008982340327,7.701095317003149e-09,47,1,levenberg_marquardt
bethe,1,2.25,up,ground_state,0,200,reproduction,0.03748845306262593,0.008191022804041203,-0.1237372173776989,-0.10530741606860619,1.0000000000000004,0.44407699914430027,8.157162058691449e-09,49,1,levenberg_marquardt
bethe,1,2.3,up,ground_state,0,200,reproduction,0.03488026955752501,0.0076261422073141145,-0.12008871583477417,-0.1025485887579517,1.0,0.41134693292845065,9.47998080036486e-09,51,1,levenberg_marquardt
bethe,1,2.35,up,ground_state,0,200,reproduction,0.032403843304998764,0.00708895142375954,-0.11658057072235539,-0.09992153487652047,1.0000000000000004,0.38205944235254374,8.663652910826296e-09,54,1,levenberg_marquardt
bethe,1,2.4,up,ground_state,0,200,reproduction,0.030046170122063308,0.006576746433575095,-0.11320393761511145,-0.09741974617453122,0.9999999999999999,0.35590753942662834,0.0,57,1,levenberg_marquardt
bethe,1,2.45,up,ground_state,0,200,reproduction,0.027794902812014088,0.006086945169990715,-0.1099504601922778,-0.09503744452580055,0.9999999999999999,0.3325989462401803,0.0,60,1,levenberg_marquardt
bethe,1,2.5,up,ground_state,0,200,reproduction,0.025638159285320386,0.005617048102140886,-0.10681228892596034,-0.09276966867060812,0.999999999999999,0.3118571264251496,0.0,65,1,levenberg_marquardt
bethe,1,2.55,up,ground_state,0,200,reproduction,0.023564313197864645,0.0051645944138430004,-0.10378210637717562,-0.09061239062187597,0.9999999999999997,0.2934221158487135,8.793623607061917e-09,70,1,levenberg_marquardt
bethe,1,2.6,up,ground_state,0,200,reproduction,0.021561755686865653,0.004727111293427478,-0.10085316794446014,-0.0885626785815487,0.9999999999999993,0.2770511670490615,0.0,73,1,levenberg_marquardt
bethe,1,2.65,up,ground_state,0,200,reproduction,0.019618613381833114,0.004302053068551131,-0.09801937272416077,-0.08661893209250027,0.9999999999999996,0.2625192571115307,0.0,83,1,levenberg_marquardt
bethe,1,2.7,up,ground_state,0,200,reproduction,0.01772241899205803,0.0038867293216850456,-0.0952753984582897,-0.08478122928974008,1.0000000000000004,0.24961952004476573,9.986039550824444e-09,92,1,levenberg_marquardt
bethe,1,2.75,up,ground_state,0,200,reproduction,0.01585972869773616,0.003478220642267685,-0.09261695408987375,-0.08305184732363761,1.0,0.2381636240059464,0.0,103,1,levenberg_marquardt
bethe,1,2.8,up,ground_state,0,200,reproduction,0.014015779333977258,0.0030733023870806613,-0.09004128850836324,-0.08143604182453738,0.9999999999999999,0.22798216591910542,0.0,116,1,levenberg_marquardt
bethe,1,2.85,up,ground_state,0,200,reproduction,0.012174533904693382,0.002668453327713669,-0.08754825591663996,-0.079943163932656,0.9999999999999999,0.21892493554988907,0.0,137,1,levenberg_marquardt
bethe,1,2.9,up,ground_state,0,200,reproduction,0.01032043816560071,0.0022602418382573976,-0.08514266231976646,-0.07858796098882001,0.9999999999999997,0.21086025303372144,0.0,165,1,levenberg_marquardt
bethe,1,3.55,up,ground_state,0,200,reproduction,0.0006284113464627236,0.00012224180328496625,-0.0662786097219322,-0.06584465132027056,1.0000000000000002,0.14157774510079707,0.0,196,1,levenberg_marquardt
bethe,1,3.6,up,ground_state,0,200,reproduction,0.0005642500539040861,0.00010846587158847041,-0.06528277852495373,-0.06489230138723524,1.0000000000000002,0.13751738699552335,0.0,178,1,levenberg_marquardt
bethe,1,3.7,up,ground_state,0,200,reproduction,0.000464351274122346,8.717071202872181e-05,-0.06336546648922525,-0.06304293485471898,1.0,0.12985869249649476,0.0,99,1,levenberg_marquardt
bethe,1,3.8,up,ground_state,0,200,reproduction,0.00039052416036432246,7.159760164419787e-05,-0.06153958273993594,-0.06126751185368799,1.0000000000000002,0.12277043948201521,0.0,91,1,levenberg_marquardt
bethe,1,3.9,up,ground_state,0,200,reproduction,0.0003340373343445121,5.9814090074555345e-05,-0.059797456552505984,-0.05956418160121522,0.9999999999999996,0.11620113645092414,0.0,84,1,levenberg_marquardt
bethe,1,4.0,up,ground_state,0,200,reproduction,0.00028963183739140583,5.0658091893958346e-05,-0.05813260981719101,-0.05792997744961518,0.9999999999999999,0.11010377962285475,0.0,78,1,levenberg_marquardt
bethe,1,4.0,down,ground_state,0,200,reproduction,0.0002896318373313646,5.065809188061626e-05,-0.05813260981720502,-0.057929977449682556,0.9999999999999994,0.1101037796228705,0.0,78,1,levenberg_marquardt
bethe,1,3.9,down,ground_state,0,200,reproduction,0.0003340373163499648,5.981408607596561e-05,-0.05979745655056332,-0.059564181614867054,0.9999999999999997,0.11620113645996709,0.0,85,1,levenberg_marquardt
bethe,1,3.8,down,ground_state,0,200,reproduction,0.000390524160535721,7.159760168228354e-05,-0.061539582739958514,-0.06126751185356583,0.9999999999999996,0.12277043948195807,0.0,91,1,levenberg_marquardt
bethe,1,3.7,down,ground_state,0,200,reproduction,0.00046435124957271243,8.717070657388773e-05,-0.06336546648631664,-0.06304293487199325,0.9999999999999998,0.1298586925094909,0.0,100,1,levenberg_marquardt
bethe,1,3.6,down,ground_state,0,200,reproduction,0.0005642498852639678,0.00010846583411937303,-0.06528277850381944,-0.06489230150098971,0.9999999999999993,0.13751738709522962,0.0,181,1,levenberg_marquardt
bethe,1,3.55,down,ground_state,0,200,reproduction,0.0006284113048052222,0.00012224179402968815,-0.06627860971652302,-0.06584465134771764,1.0,0.1415777451255586,0.0,197,1,levenberg_marquardt
bethe,1,2.95,down,ground_state,0,200,reproduction,0.008446512108899915,0.0018471148499075419,-0.08283953431393976,-0.07739054550671251,1.0,0.20366992789423566,0.0,198,1,levenberg_marquardt
bethe,1,2.9,down,ground_state,0,200,reproduction,0.010320438121570139,0.0022602418285360922,-0.08514266229804852,-0.07858796099529386,0.9999999999999997,0.210860253025831,0.0,166,1,levenberg_marquardt
bethe,1,2.85,down,ground_state,0,200,reproduction,0.012174534262754921,0.002668453406672982,-0.08754825610401465,-0.07994316389499664,0.9999999999999998,0.21892493574330346,0.0,132,1,levenberg_marquardt
bethe,1,2.8,down,ground_state,0,200,reproduction,0.014015779814440885,0.00307330249290678,-0.09004128876963445,-0.08143604178949547,1.0,0.22798216640338045,3.465712624937658e-09,111,1,levenberg_marquardt
bethe,1,2.75,down,ground_state,0,200,reproduction,0.01585972871703498,0.0034782206465131934,-0.09261695410062636,-0.08305184732271507,0.9999999999999989,0.23816362407418987,5.851904964100792e-09,102,1,levenberg_marquardt
bethe,1,2.7,down,ground_state,0,200,reproduction,0.017722418979831782,0.0038867293189983614,-0.09527539845137696,-0.08478122929008139,0.9999999999999993,0.24961952001357834,7.874615676249229e-09,92,1,levenberg_marquardt
bethe,1,2.65,down,ground_state,0,200,reproduction,0.01961861355196894,0.004302053105891487,-0.09801937282106868,-0.08661893209045624,0.9999999999999993,0.26251925759845285,0.0,81,1,levenberg_marquardt
bethe,1,2.6,down,ground_state,0,200,reproduction,0.021561755297901677,0.004727111208165277,-0.10085316772236814,-0.08856267858113842,0.9999999999999993,0.2770511658546253,8.712375265674337e-09,76,1,levenberg_marquardt
bethe,1,2.55,down,ground_state,0,200,reproduction,0.023564313370675136,0.005164594451675723,-0.10378210647571848,-0.09061239062394538,0.9999999999999993,0.2934221163004579,0.0,69,1,levenberg_marquardt
bethe,1,2.5,down,ground_state,0,200,reproduction,0.025638159285327512,0.005617048102143069,-0.10681228892597332,-0.09276966867061565,1.0000000000000002,0.3118571264253539,0.0,65,1,levenberg_marquardt
bethe,1,2.45,down,ground_state,0,200,reproduction,0.027794902811701258,0.006086945169922659,-0.10995046019209635,-0.09503744452578583,1.0000000000000002,0.3325989462380572,0.0,60,1,levenberg_marquardt
bethe,1,2.4,down,ground_state,0,200,reproduction,0.03004617000243611,0.006576746407490218,-0.11320393754807889,-0.09741974617010236,0.9999999999999999,0.3559075394278424,9.123085842333012e-09,57,1,levenberg_marquardt
bethe,1,2.35,down,ground_state,0,200,reproduction,0.03240384361723833,0.007088951491743161,-0.11658057089579671,-0.09992153489020028,1.0,0.3820594440757321,0.0,53,1,levenberg_marquardt
bethe,1,2.3,down,ground_state,0,200,reproduction,0.03488026955684898,0.0076261422071668816,-0.12008871583440055,-0.10254858875791673,0.9999999999999994,0.41134693292554114,9.489474539492448e-09,51,1,levenberg_marquardt
bethe,1,2.25,down,ground_state,0,200,reproduction,0.037488453062847066,0.008191022804088916,-0.12373721737782241,-0.10530741606862234,0.9999999999999996,0.44407699914598525,8.167690081587096e-09,49,1,levenberg_marquardt
bethe,1,2.2,down,ground_state,0,200,reproduction,0.04024224066716415,0.008786456618678207,-0.12753539136343847,-0.10820518680234642,1.0000000000000009,0.4805700898183488,7.695444281808055e-09,47,1,levenberg_marquardt
bethe,1,2.15,down,ground_state,0,200,reproduction,0.043156506148694165,0.00941550286315356,-0.13149300558452276,-0.1112496744287426,1.0,0.521158610626465,7.846610028395511e-09,45,1,levenberg_marquardt
bethe,1,2.1,down,ground_state,0,200,reproduction,0.046247341447045454,0.010081453694422484,-0.13562025440861977,-0.11444920165033255,1.0000000000000007,0.5661851659616206,8.658255445936914e-09,43,1,levenberg_marquardt
bethe,1,2.05,down,ground_state,0,200,reproduction,0.049532259559001306,0.01078787296154077,-0.1399277246346187,-0.11781258506346012,1.0000000000000004,0.6160005079180275,6.734183655155011e-09,42,1,levenberg_marquardt
bethe,1,2.0,down,ground_state,0,200,reproduction,0.05303041567735664,0.011538637828000301,-0.14442634996666256,-0.12134907431066197,1.0,0.670961197536611,8.472667678560708e-09,40,1,levenberg_marquardt
bethe,1,1.9,down,ground_state,0,200,reproduction,0.060752752792634264,0.013190553157365097,-0.15404214595968735,-0.12898009496069365,0.9999999999999998,0.7977570007572514,6.515531003614743e-09,38,1,levenberg_marquardt
bethe,1,1.8,down,ground_state,0,200,reproduction,0.06961039071297266,0.01507631182301865,-0.1645592053798813,-0.13742184409844774,1.0,0.9494264161767945,9.301304837568172e-09,35,1,levenberg_marquardt
bethe,1,1.7,down,ground_state,0,200,reproduction,0.07984458209916055,0.01724347196212544,-0.17606835702544324,-0.14675445468983,0.9999999999999996,1.128691710252789,9.584249616168034e-09,33,1,levenberg_marquardt
bethe,1,1.6,down,ground_state,0,200,reproduction,0.09175528123177246,0.01975039988312379,-0.18865380223360223,-0.15705316242060416,0.9999999999999993,1.3379748956947992,6.522079543103132e-09,32,1,levenberg_marquardt
bethe,1,1.5,down,ground_state,0,200,reproduction,0.10571870158091527,0.022669271592160707,-0.20238462048185163,-0.16838071309361058,0.9999999999999996,1.5791768174776033,8.168250187347572e-09,30,1,levenberg_marquardt
bethe,1,1.4,down,ground_state,0,200,reproduction,0.12221023536200884,0.026089895851948108,-0.21730334447005092,-0.18077749027732357,0.999999999999999,1.8533989102224704,5.013009340985745e-09,29,1,levenberg_marquardt
