cell,bare_attempt_id,U_over_D,T_over_D,branch,Z_bare,Z_converted,Z_reopt,basin_bare,basin_reopt,bound_limited,dD,dOmega,dOmega_over_D,dZ,dZ_convert,different_basin,floor_limited,resnorm_reopt
bethe_mg1_bare,dcef6a4b46d7ca59,2.0,0.001,metal-up,0.6350811849346054,0.6350811849346045,0.6350811849346045,metal,metal,0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,8.881784197001252e-16,8.881784197001252e-16,0,0,4.601146984252233e-05
bethe_mg1_bare,6c5967d705f0c92c,2.05,0.001,metal-up,0.6188112339224663,0.6188112339224653,0.6188112339224653,metal,metal,0,0.0,4.263256414560601e-14,4.263256414560601e-14,9.992007221626409e-16,9.992007221626409e-16,0,0,3.8780540264977224e-05
bethe_mg1_bare,87c306d3d649b118,2.1,0.001,metal-up,0.6013524541239653,0.6013524541239641,0.6013524541239641,metal,metal,0,0.0,7.105427357601002e-15,7.105427357601002e-15,1.2212453270876722e-15,1.2212453270876722e-15,0,0,3.559735304503008e-05
bethe_mg1_bare,f3546b1a842384ef,2.15,0.001,metal-up,0.5830730890993182,0.5830730890993171,0.5830730890993171,metal,metal,0,0.0,7.105427357601002e-15,7.105427357601002e-15,1.1102230246251565e-15,1.1102230246251565e-15,0,0,3.430792247678931e-05
bethe_mg1_bare,956a9dfbfec496bf,2.2,0.001,metal-up,0.5648666613151845,0.5648666613151835,0.5648666613151835,metal,metal,0,0.0,7.105427357601002e-15,7.105427357601002e-15,9.992007221626409e-16,9.992007221626409e-16,0,0,3.1061941224471267e-05
bethe_mg1_bare,72bf75b4eef027fd,2.25,0.001,metal-up,0.5461559810846139,0.5461559810846129,0.5461559810846129,metal,metal,0,0.0,0.0,0.0,9.992007221626409e-16,9.992007221626409e-16,0,0,2.8354353163655035e-05
bethe_mg1_bare,ce9c6f77615c5541,2.3,0.001,metal-up,0.5267581464276451,0.526758146427644,0.526758146427644,metal,metal,0,0.0,7.105427357601002e-15,7.105427357601002e-15,1.1102230246251565e-15,1.1102230246251565e-15,0,0,2.679838160793822e-05
bethe_mg1_bare,ce9049a8bceff727,2.35,0.001,metal-up,0.5066993964579045,0.5066993964579033,0.5066993964579033,metal,metal,0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,1.2212453270876722e-15,1.2212453270876722e-15,0,0,2.618979440129403e-05
bethe_mg1_bare,388396c976bf584a,2.4,0.001,metal-up,0.4867934244711469,0.4867934244711458,0.4867934244711458,metal,metal,0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,1.0547118733938987e-15,1.0547118733938987e-15,0,0,2.3585967298518104e-05
bethe_mg1_bare,443e5c1dd37ec36c,2.45,0.001,metal-up,0.46580871564672166,0.4658087156467207,0.46627663464583935,metal,metal,0,3.778311431779091e-05,4.069945141793596e-05,4.069945141793596e-05,0.0004679189991176891,9.43689570931383e-16,0,0,2.1771723955102262e-05
bethe_mg1_bare,e008ba636764e703,2.5,0.001,metal-up,0.44490390945330593,0.44490390945330505,0.4446022438532847,metal,metal,0,2.4079873257407125e-05,2.7285873954951967e-05,2.7285873954951967e-05,0.0003016656000212614,8.881784197001252e-16,0,0,2.2471050037604433e-05
bethe_mg1_bare,214a393cb8e885d0,2.55,0.001,metal-up,0.4231002787595808,0.42310027875957956,0.4225200496214161,metal,metal,0,4.676375425823054e-05,5.3708001622965185e-05,5.3708001622965185e-05,0.0005802291381646896,1.2212453270876722e-15,0,0,2.3172370202885695e-05
bethe_mg1_bare,03bc42b5ddddea88,2.6,0.001,metal-up,0.4008696441255136,0.40086964412551296,0.40002918372476864,metal,metal,0,6.836981517742424e-05,7.984499588786775e-05,7.984499588786775e-05,0.0008404604007449801,6.661338147750939e-16,0,0,2.3875289075509624e-05
bethe_mg1_bare,f95413c5582701fd,2.65,0.001,metal-up,0.3781883434836327,0.37818834348363145,0.37713124509714097,metal,metal,0,8.688686643205934e-05,0.00010327917850361246,0.00010327917850361246,0.0010570983864917616,1.27675647831893e-15,0,0,2.457943158116374e-05
bethe_mg1_bare,06c65de53629255d,2.7,0.001,metal-up,0.35533414979561456,0.35533414979561373,0.35382803495887377,metal,metal,0,0.00012530066156799663,0.00015151377204603023,0.00015151377204603023,0.0015061148367407906,8.326672684688674e-16,0,0,2.5284434724364793e-05
bethe_mg1_bare,a72cab0bef6aadff,2.75,0.001,metal-up,0.3320794312235702,0.3320794312235691,0.3301203328038116,metal,metal,0,0.00016562284719175147,0.00020273071219634176,0.00020273071219634176,0.001959098419758609,1.1102230246251565e-15,0,0,2.5989947396558283e-05
bethe_mg1_bare,8f04eb189bb8650e,2.8,0.001,metal-up,0.30831357886571353,0.3083135788657124,0.3062148950833905,metal,metal,0,0.0001663754089996014,0.0002465232876787127,0.0002465232876787127,0.0020986837823230298,1.1102230246251565e-15,0,0,2.6727125928108158e-05
bethe_mg1_bare,5fc794a61b132255,2.85,0.001,metal-up,0.28499282640423396,0.28499282640423335,0.2821763152889887,metal,metal,0,0.00020349779661515965,0.0003863150216929512,0.0003863150216929512,0.0028165111152452793,6.106226635438361e-16,0,0,2.77018458714134e-05
bethe_mg1_bare,d71e250d9111a547,2.9,0.001,metal-up,0.26034114224142707,0.2603411422414259,0.25750205812169963,metal,metal,0,0.00019837327286393452,0.0004323512092838655,0.0004323512092838655,0.002839084119727442,1.1657341758564144e-15,0,0,2.8586372210783005e-05
bethe_mg1_bare,691835899ea5b0c0,2.95,0.001,metal-up,0.2356411363192341,0.2356411363192333,0.23128418294272562,metal,metal,0,0.00043326035132859597,0.00043991637957674357,0.00043991637957674357,0.004356953376508488,8.049116928532385e-16,0,0,2.8810905638512134e-05
bethe_mg1_bare,1064accdcfd952b1,3.0,0.001,metal-up,0.20922645362582054,0.20922645362581946,0.20666742080891817,metal,metal,0,0.00018425818969119295,0.0004553901175512465,0.0004553901175512465,0.002559032816902368,1.0824674490095276e-15,0,0,3.0042805541672003e-05
bethe_mg1_bare,f6ae78d7b8ab4da7,3.05,0.001,metal-up,0.1831030081663036,0.18310300816630276,0.18071102274383338,metal,metal,0,0.00017281504197143305,0.00047612869683177905,0.00047612869683177905,0.002391985422470211,8.326672684688674e-16,0,0,3.080933430923461e-05
bethe_mg1_bare,d84342d0fea919d5,3.1,0.001,metal-up,0.15648634958549365,0.15648634958549346,0.15430998252347927,metal,metal,0,0.0001596153555034445,0.0004896080726268792,0.0004896080726268792,0.0021763670620143782,1.942890293094024e-16,0,0,3.1527290717231116e-05
bethe_mg1_bare,dd9ff708eedf7609,3.15,0.001,metal-up,0.12999741843070314,0.12999741843070287,0.1280966996324525,metal,metal,0,0.00011644939365132792,0.0006012998337752151,0.0006012998337752151,0.0019007187982506557,2.7755575615628914e-16,0,0,3.277788459045042e-05
bethe_mg1_bare,0d0bef015320d2a0,3.2,0.001,metal-up,0.1112376618297392,0.11123766182973893,0.09868220774861301,metal,metal,0,0.0015780277674095223,0.0006145223623974516,0.0006145223623974516,0.012555454081126183,2.636779683484747e-16,0,0,3.236484944688978e-05
bethe_mg1_bare,31f0ebace1dd76d8,3.25,0.001,metal-up,0.0744168655142062,0.07441686551420597,0.06977863509071165,metal,metal,0,0.0005367496162483245,0.0006041618551080319,0.0006041618551080319,0.004638230423494552,2.3592239273284576e-16,0,0,3.304663132493243e-05
bethe_mg1_bare,2ead09db5c1149b5,3.3,0.001,metal-up,0.060813394709233,0.060813394709232964,0.03987396679098323,metal,metal,0,0.0026927909677878486,0.0006440217671865867,0.0006440217671865867,0.02093942791824977,3.469446951953614e-17,0,0,3.407212291756143e-05
bethe_mg1_bare,32741a65754a69bf,3.35,0.001,metal-up,0.026156219912626486,0.026156219912626618,0.02562368313353514,metal,metal,0,4.085804789526366e-05,0.0006108610444499618,0.0006108610444499618,0.0005325367790913471,1.3183898417423734e-16,0,0,5.5159243254776516e-05
bethe_mg1_bare,5cce2387ca5ad59f,3.4,0.001,metal-up,0.02386706317926638,0.023867063179266464,0.023391852162434223,metal,metal,0,3.5332916169142185e-05,0.0006144199117272819,0.0006144199117272819,0.0004752110168321569,8.326672684688674e-17,0,0,9.63314020330735e-05
bethe_mg1_bare,2aef3be940e49cf5,3.45,0.001,metal-up,0.02213051086239889,0.022130510862398697,0.02169782326520697,metal,metal,0,3.121552207989648e-05,0.000617667262922339,0.000617667262922339,0.00043268759719192196,1.942890293094024e-16,0,0,0.00013908834314166826
bethe_mg1_bare,e6513bf92b5f7fc3,3.5,0.001,metal-up,0.020726472371319245,0.020726472371319304,0.02033516662456936,metal,metal,0,2.7027340431362568e-05,0.0006187158297734641,0.0006187158297734641,0.00039130574674988566,5.898059818321144e-17,0,0,0.00018118213074053206
bethe_mg1_bare,7327ce6490d25fbd,3.55,0.001,metal-up,0.019553822818373957,0.019553822818374245,0.019188100205220122,other,other,0,2.4633917344512018e-05,0.0006207825856634486,0.0006207825856634486,0.0003657226131538356,2.8796409701215e-16,0,0,0.00022225671087349277
bethe_mg1_bare,7c8b6fb69075a3a2,3.6,0.001,metal-up,0.018556611765911068,0.0185566117659105,0.018197289159835983,other,other,0,2.4578397573052965e-05,0.0006221730739639497,0.0006221730739639497,0.0003593226060750847,5.689893001203927e-16,0,0,0.0002622769550563444
bethe_mg1_bare,c9a347acdb8c6458,3.7,0.001,metal-up,0.016868148478393543,0.01686814847839357,0.016547624662095913,other,other,0,2.0923613836737465e-05,0.000623497750986246,0.000623497750986246,0.0003205238162976298,2.7755575615628914e-17,0,0,0.00033932243869864233
bethe_mg1_bare,2296c4288e62ca1a,3.8,0.001,metal-up,0.015482648652971248,0.01548264865297133,0.015178721279519471,other,other,0,1.9854032237205665e-05,0.0006255353134889674,0.0006255353134889674,0.00030392737345177716,8.153200337090993e-17,0,0,0.0004127331900855452
bethe_mg1_bare,0583d5b41195f54e,3.9,0.001,metal-up,0.01430406304038675,0.014304063040386785,0.014004180031189195,other,other,0,2.020872622854157e-05,0.0006284094404733764,0.0006284094404733764,0.00029988300919755496,3.469446951953614e-17,0,0,0.0004828928445507849
bethe_mg1_bare,2eaf563e00f2c5b7,4.0,0.001,metal-up,0.013256923396691244,0.013256923396691048,0.012967084130567906,other,other,0,1.9737349790357626e-05,0.0006308022702583571,0.0006308022702583571,0.0002898392661233387,1.960237527853792e-16,0,0,0.0005501089318151746
