M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,rel_Nk64,scaleaware_Nk64,gate_tol,Nk64_passes,note
1,R_native,insulator,2.0,0.001,Z_pole,9.796404898399666e-08,0.2241026836603883,4.3908012559102774e-07,0.001,0,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.001,Z_mats,9.79640489839963e-08,0.22410268366038683,4.3908012559102324e-07,0.001,0,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.001,D_occ,3.80674537535733e-13,-0.0014223013472142963,-1.0828678151745045e-14,0.001,0,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.001,n,0.9999999999999999,1.1102230246251568e-16,1.1102230246251568e-16,0.001,1,
1,R_native,insulator,2.0,0.001,Omega_over_D,-1.0050701226926329,4.874430136003611e-07,-4.874430136003611e-07,0.001,1,
1,R_native,insulator,2.0,0.001,E_kin_over_D,-0.008752442161707683,0.00011189112358992108,-1.958641175258541e-05,0.001,1,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.001,E_pot_over_D,7.61349075071466e-13,-0.0014223013472142963,-2.165735630349009e-14,0.001,0,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.001,E_tot_over_D,-0.008752442160946334,0.00011189112372333022,-1.9586411774234758e-05,0.001,1,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.01,Z_pole,1.0341394984791036e-07,0.022664226246214027,4.687594312735342e-08,0.001,0,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.01,Z_mats,1.0341394984790999e-07,0.02266422624621475,4.6875943127354746e-08,0.001,0,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.01,D_occ,4.816339632754929e-13,0.00015608714863176747,1.503537440237782e-15,0.001,1,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.01,n,1.0,0.0,0.0,0.001,1,
1,R_native,insulator,2.0,0.01,Omega_over_D,-1.0112942364492667,-1.5038185567006012e-09,1.5038185567006012e-09,0.001,1,
1,R_native,insulator,2.0,0.01,E_kin_over_D,-0.00872403507018924,-3.486116879524112e-07,6.082601183149405e-08,0.001,1,near-Z=0: use scale-aware
1,R_native,insulator,2.0,0.01,E_pot_over_D,9.632679265509859e-13,0.00015608714863176747,3.007074880475564e-15,0.001,1,near-Z=0: use scale-aware
