lattice,M_g,M_h,gauge,solver_route,quadrature,integration_nodes,Nk,n_eps,branch,U_over_D,T_over_D,U_raw,T_raw,Z_pole,Z_mats,D_occ,n,Omega,Omega_over_D,E_kin,E_kin_over_D,E_pot,E_pot_over_D,E_tot_over_D,resnorm,converged,dist_to_spinodal_UD,norm_error,roundtrip_error,floor_limited,equation_accepted,physical,gated,branch_continuous,selected
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,noninteracting,0.0,0.001,0.0,0.002,1.0,1.0,0.25,1.0,nan,nan,-0.8054419490340057,-0.40272097451700284,0.0,0.0,-0.40272097451700284,0.0,1,3.2,,,,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,noninteracting,0.0,0.001,0.0,0.002,1.0,1.0,0.25,1.0,nan,nan,-0.809272413436074,-0.404636206718037,0.0,0.0,-0.404636206718037,0.0,1,3.2,,,,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,noninteracting,0.0,0.001,0.0,0.002,1.0,1.0,0.25,1.0,nan,nan,-0.8102442621716828,-0.4051221310858414,0.0,0.0,-0.4051221310858414,0.0,1,3.2,,,,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,noninteracting,0.0,0.001,0.0,0.002,1.0,1.0,0.25,1.0,nan,nan,-0.8105696150591406,-0.4052848075295703,0.0,0.0,-0.4052848075295703,0.0,1,3.2,,,,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,metal,1.0,0.001,2.0,0.002,0.7312594876429456,0.7312594876429445,0.159338956194657,0.9999999999999982,-1.3973231450515726,-0.6986615725257863,-0.7158414813095466,-0.3579207406547733,0.318677912389314,0.159338956194657,-0.19858178446011632,1.0944946321134537e-05,1,2.2,2.220446049250313e-16,5.551115123125783e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,metal,1.0,0.001,2.0,0.002,0.7388554220377551,0.7388554220377542,0.16017669605043897,1.0000000000000004,-1.3999856333486171,-0.6999928166743086,-0.7203205931976827,-0.36016029659884136,0.32035339210087793,0.16017669605043897,-0.1999836005484024,1.0005959920611074e-05,1,2.2,1.1102230246251565e-16,5.329070518200751e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,metal,1.0,0.001,2.0,0.002,0.7407866196068621,0.7407866196068612,0.16038881875175354,0.999999999999999,-1.400621858734219,-0.7003109293671095,-0.7214543883505826,-0.3607271941752913,0.3207776375035071,0.16038881875175354,-0.20033837542353777,9.520802912474151e-06,1,2.2,0.0,5.329070518200751e-15,0,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,metal,1.0,0.001,2.0,0.002,0.7413952615922937,0.7413952615922931,0.16045650975566925,1.000000000000001,-1.4007913112462447,-0.7003956556231223,-0.7218181009054673,-0.36090905045273364,0.3209130195113385,0.16045650975566925,-0.2004525406970644,9.396863638768925e-06,1,2.2,2.220446049250313e-16,5.329070518200751e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,metal,2.0,0.001,4.0,0.002,0.28568757676859524,0.2856875767685946,0.07613434735445704,0.999999999999999,-2.163196678120567,-1.0815983390602835,-0.4677946465494108,-0.2338973232747054,0.30453738941782815,0.15226869470891408,-0.08162862856579131,2.206894664275928e-05,1,1.2,0.0,2.886579864025407e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,metal,2.0,0.001,4.0,0.002,0.2919141073019123,0.29191410730191136,0.07692661898093993,1.0000000000000009,-2.164143774851606,-1.082071887425803,-0.47204092821743804,-0.23602046410871902,0.3077064759237597,0.15385323796187986,-0.08216722614683916,2.0673863946000166e-05,1,1.2,0.0,3.3306690738754696e-15,0,,,,,
