# M_g=5 PH-symmetric insulator-down descent (Bethe, bare, T/D=0.001).
# Central level + two satellite pairs, 7 free params; residual_ph(...,5);
# boxes V0<=5, v1,v2<=24, e1,e2<=48, W<=10, eta<=8; chained seeds, U=4.0->0.90.
# Generated 2026-07-22 (dmft worktree feat/paper-consolidation, frozen producers).
# Columns: U | V0 | v1 | e1 | v2 | e2 | W | 2W^2 | (U^2-D^2)/4 | resnorm
U | V0 | v1 | e1 | v2 | e2 | W | 2W^2 | law | |F|
 4.000 | 0.0006 |   1.411 |   14.61 |   0.709 |   21.80 | 1.37606 | 3.78706 | +3.75000 | 8.654e-06
 3.950 | 0.0003 |   1.421 |   14.56 |   0.718 |   21.49 | 1.35792 | 3.68790 | +3.65063 | 3.664e-06
 3.900 | 0.0001 |   1.430 |   14.49 |   0.730 |   21.51 | 1.33977 | 3.58996 | +3.55250 | 3.192e-06
 3.850 | 0.0000 |   1.439 |   14.43 |   0.743 |   21.24 | 1.32161 | 3.49330 | +3.45563 | 3.232e-06
 3.800 | 0.0000 |   1.450 |   14.36 |   0.750 |   21.06 | 1.30343 | 3.39786 | +3.36000 | 3.323e-06
 3.750 | 0.0000 |   1.466 |   14.37 |   0.758 |   20.78 | 1.28526 | 3.30378 | +3.26562 | 3.367e-06
 3.700 | 0.0000 |   1.474 |   14.27 |   0.765 |   20.57 | 1.26704 | 3.21079 | +3.17250 | 3.481e-06
 3.650 | 0.0000 |   1.487 |   14.21 |   0.764 |   20.16 | 1.24882 | 3.11910 | +3.08062 | 3.546e-06
 3.600 | 0.0000 |   1.501 |   14.12 |   0.763 |   20.21 | 1.23057 | 3.02860 | +2.99000 | 3.685e-06
 3.550 | 0.0000 |   1.513 |   14.04 |   0.765 |   19.91 | 1.21231 | 2.93938 | +2.90062 | 3.788e-06
 3.500 | 0.0000 |   1.526 |   13.94 |   0.764 |   19.90 | 1.19402 | 2.85138 | +2.81250 | 3.939e-06
 3.450 | 0.0000 |   1.537 |   13.86 |   0.780 |   19.83 | 1.17573 | 2.76469 | +2.72563 | 4.090e-06
 3.400 | 0.0000 |   1.553 |   13.83 |   0.773 |   19.10 | 1.15743 | 2.67927 | +2.64000 | 4.115e-06
 3.350 | 0.0000 |   1.568 |   13.76 |   0.776 |   18.91 | 1.13910 | 2.59508 | +2.55563 | 4.240e-06
 3.300 | 0.0000 |   1.582 |   13.70 |   0.784 |   18.66 | 1.12075 | 2.51214 | +2.47250 | 4.369e-06
 3.250 | 0.0000 |   1.597 |   13.64 |   0.799 |   18.51 | 1.10238 | 2.43048 | +2.39062 | 4.512e-06
 3.200 | 0.0000 |   1.606 |   13.55 |   0.810 |   18.16 | 1.08398 | 2.35001 | +2.31000 | 4.661e-06
 3.150 | 0.0000 |   1.624 |   13.51 |   0.818 |   17.77 | 1.06557 | 2.27086 | +2.23062 | 4.750e-06
 3.100 | 0.0000 |   1.638 |   13.43 |   0.832 |   17.64 | 1.04712 | 2.19292 | +2.15250 | 4.932e-06
 3.050 | 0.0000 |   1.651 |   13.35 |   0.841 |   17.28 | 1.02864 | 2.11620 | +2.07562 | 5.088e-06
 3.000 | 0.0000 |   1.665 |   13.28 |   0.857 |   17.01 | 1.01014 | 2.04077 | +2.00000 | 5.245e-06
 2.950 | 0.0000 |   1.681 |   13.19 |   0.874 |   16.96 | 0.99161 | 1.96657 | +1.92563 | 5.482e-06
 2.900 | 0.0000 |   1.696 |   13.11 |   0.887 |   16.63 | 0.97304 | 1.89361 | +1.85250 | 5.658e-06
 2.850 | 0.0000 |   1.715 |   13.04 |   0.904 |   16.60 | 0.95444 | 1.82192 | +1.78063 | 5.912e-06
 2.800 | 0.0000 |   1.727 |   12.92 |   0.910 |   16.21 | 0.93578 | 1.75138 | +1.71000 | 6.152e-06
 2.750 | 0.0000 |   1.741 |   12.82 |   0.924 |   15.92 | 0.91710 | 1.68215 | +1.64062 | 6.393e-06
 2.700 | 0.0000 |   1.756 |   12.72 |   0.937 |   15.58 | 0.89837 | 1.61416 | +1.57250 | 6.626e-06
 2.650 | 0.0000 |   1.774 |   12.63 |   0.958 |   15.47 | 0.87961 | 1.54744 | +1.50562 | 6.939e-06
 2.600 | 0.0000 |   1.792 |   12.53 |   0.973 |   15.26 | 0.86080 | 1.48195 | +1.44000 | 7.264e-06
 2.550 | 0.0000 |   1.809 |   12.43 |   0.987 |   14.96 | 0.84193 | 1.41769 | +1.37562 | 7.565e-06
 2.500 | 0.0000 |   1.826 |   12.32 |   0.997 |   14.65 | 0.82300 | 1.35465 | +1.31250 | 7.920e-06
 2.450 | 0.0000 |   1.845 |   12.21 |   1.012 |   14.38 | 0.80402 | 1.29289 | +1.25063 | 8.291e-06
 2.400 | 0.0000 |   1.864 |   12.10 |   1.022 |   14.03 | 0.78497 | 1.23234 | +1.19000 | 8.666e-06
 2.350 | 0.0000 |   1.900 |   12.19 |   1.046 |   13.44 | 0.76592 | 1.17327 | +1.13063 | 8.520e-06
 2.300 | 0.0000 |   1.950 |   12.43 |   1.087 |   12.94 | 0.74685 | 1.11557 | +1.07250 | 8.208e-06
 2.250 | 0.0000 |   1.971 |   12.31 |   1.098 |   12.61 | 0.72757 | 1.05872 | +1.01562 | 8.688e-06
 2.200 | 0.0000 |   1.995 |   12.16 |   1.118 |   12.49 | 0.70822 | 1.00314 | +0.96000 | 9.293e-06
 2.150 | 0.0000 |   2.030 |   12.07 |   1.136 |   12.36 | 0.68879 | 0.94885 | +0.90562 | 9.874e-06
 2.100 | 0.0000 |   2.056 |   11.92 |   1.152 |   12.17 | 0.66923 | 0.89573 | +0.85250 | 1.060e-05
 2.050 | 0.0000 |   2.155 |   12.47 |   1.200 |   11.53 | 0.64976 | 0.84437 | +0.80062 | 1.029e-05
 2.000 | 0.0000 |   2.211 |   12.48 |   1.237 |   11.49 | 0.63004 | 0.79389 | +0.75000 | 1.080e-05
 1.950 | 0.0000 |   2.240 |   12.27 |   1.253 |   11.31 | 0.61009 | 0.74442 | +0.70062 | 1.173e-05
 1.900 | 0.0000 |   2.278 |   12.10 |   1.268 |   11.11 | 0.59000 | 0.69619 | +0.65250 | 1.273e-05
 1.850 | 0.0000 |   2.313 |   11.88 |   1.279 |   10.91 | 0.56971 | 0.64915 | +0.60563 | 1.392e-05
 1.800 | 0.0000 |   2.346 |   11.65 |   1.298 |   10.71 | 0.54923 | 0.60331 | +0.56000 | 1.525e-05
 1.750 | 0.0000 |   2.474 |   11.90 |   1.357 |   10.85 | 0.52877 | 0.55920 | +0.51562 | 1.554e-05
 1.700 | 0.0000 |   2.525 |   11.75 |   1.401 |   10.71 | 0.50786 | 0.51585 | +0.47250 | 1.684e-05
 1.650 | 0.0000 |   2.726 |   12.27 |   1.501 |   11.05 | 0.48701 | 0.47435 | +0.43062 | 1.650e-05
 1.600 | 0.0000 |   2.853 |   12.30 |   1.550 |   11.11 | 0.46558 | 0.43354 | +0.39000 | 1.743e-05
 1.550 | 0.0000 |   2.910 |   12.03 |   1.587 |   10.86 | 0.44360 | 0.39357 | +0.35063 | 1.939e-05
 1.500 | 0.0000 |   3.254 |   12.73 |   1.640 |   11.19 | 0.42162 | 0.35552 | +0.31250 | 1.890e-05
 1.450 | 0.0000 |   3.372 |   12.53 |   1.694 |   11.08 | 0.39863 | 0.31781 | +0.27563 | 2.076e-05
 1.400 | 0.0000 |   3.785 |   13.30 |   1.781 |   11.33 | 0.37533 | 0.28174 | +0.24000 | 2.027e-05
 1.350 | 0.0000 |   4.110 |   13.54 |   1.869 |   11.53 | 0.35087 | 0.24622 | +0.20563 | 2.101e-05
 1.300 | 0.0000 |   4.601 |   14.03 |   1.876 |   11.40 | 0.32516 | 0.21145 | +0.17250 | 2.172e-05
 1.275 | 0.0000 |   5.025 |   14.65 |   1.918 |   11.82 | 0.31184 | 0.19448 | +0.15641 | 2.078e-05
 1.250 | 0.0000 |   5.159 |   14.42 |   1.950 |   11.68 | 0.29754 | 0.17706 | +0.14062 | 2.225e-05
 1.225 | 0.0000 |   5.645 |   15.05 |   1.983 |   11.72 | 0.28282 | 0.15997 | +0.12516 | 2.170e-05
 1.200 | 0.0000 |   5.963 |   15.11 |   2.047 |   11.70 | 0.26682 | 0.14238 | +0.11000 | 2.247e-05
 1.175 | 0.0000 |   6.482 |   15.43 |   2.084 |   11.72 | 0.24935 | 0.12435 | +0.09516 | 2.267e-05
 1.150 | 0.0000 |   7.776 |   17.22 |   2.221 |   12.30 | 0.22987 | 0.10568 | +0.08062 | 1.958e-05
 1.125 | 0.0000 |   8.873 |   17.80 |   2.491 |   12.66 | 0.20351 | 0.08283 | +0.06641 | 1.934e-05
 1.100 | 0.0000 |  12.101 |   21.29 |   3.431 |   14.46 | 0.16996 | 0.05777 | +0.05250 | 6.464e-05
 1.075 | 0.0000 |  20.549 |   34.86 |   3.741 |   20.33 | 0.16844 | 0.05675 | +0.03891 | 1.211e-04
 1.050 | 0.0000 |  24.000 |   39.89 |   3.670 |   22.74 | 0.16637 | 0.05536 | +0.02563 | 1.824e-04
 1.025 | 0.0000 |  24.000 |   44.39 |   9.961 |   31.55 | 0.16520 | 0.05458 | +0.01266 | 2.229e-04
 1.000 | 0.0000 |  24.000 |   45.17 |  12.730 |   34.62 | 0.15860 | 0.05031 | +0.00000 | 2.731e-04
 0.975 | 0.0000 |  24.000 |   47.58 |  16.063 |   39.61 | 0.15820 | 0.05006 | -0.01234 | 3.084e-04
 0.950 | 0.0000 |  24.000 |   47.94 |  17.569 |   40.77 | 0.15409 | 0.04749 | -0.02438 | 3.554e-04
 0.925 | 0.0000 |  23.997 |   48.00 |  20.355 |   43.24 | 0.14649 | 0.04292 | -0.03609 | 3.905e-04
 0.900 | 0.0000 |  24.000 |   48.00 |  21.147 |   44.02 | 0.14464 | 0.04184 | -0.04750 | 4.351e-04
DONE
