# M_h=4 control at M_g=3 (two Sigma pairs; same 14 matching rows as M_h=2).
# Second pair frozen at seed (flat direction) - see paper-story 2.4(d) test 6.
# Columns: U | v1 | e1 | W1 | eta1 | W2 | eta2 | 2(W1^2+W2^2) | law | resnorm
U | v1 | e1 | W1 | eta1 | W2 | eta2 | 2(W1^2+W2^2) | law | |F|
 4.000 |   2.762 |   28.69 | 1.3782 | 0.00000 | 0.3000 | 2.0000 | 3.97874 | +3.75000 | 6.575e-07
 3.950 |   2.790 |   28.62 | 1.3601 | 0.00000 | 0.3000 | 2.0000 | 3.87984 | +3.65063 | 8.026e-07
 3.900 |   2.598 |   26.17 | 1.3417 | 0.00000 | 0.3000 | 2.0000 | 3.78037 | +3.55250 | 7.993e-07
 3.850 |   2.713 |   27.04 | 1.3236 | 0.00000 | 0.3000 | 2.0000 | 3.68403 | +3.45563 | 7.633e-07
 3.800 |   2.868 |   28.32 | 1.3057 | 0.00000 | 0.3000 | 2.0000 | 3.58991 | +3.36000 | 1.197e-06
 3.750 |   2.902 |   28.28 | 1.2875 | 0.00000 | 0.3000 | 2.0000 | 3.49542 | +3.26562 | 1.464e-06
 3.700 |   2.958 |   28.46 | 1.2693 | 0.00000 | 0.3000 | 2.0000 | 3.40223 | +3.17250 | 8.057e-07
 3.650 |   3.125 |   29.74 | 1.2512 | 0.00000 | 0.3000 | 2.0000 | 3.31106 | +3.08062 | 9.079e-07
 3.600 |   2.903 |   27.11 | 1.2327 | 0.00000 | 0.3000 | 2.0000 | 3.21920 | +2.99000 | 8.661e-07
 3.550 |   3.070 |   28.34 | 1.2145 | 0.00000 | 0.3000 | 2.0000 | 3.13015 | +2.90062 | 1.012e-06
 3.500 |   3.114 |   28.35 | 1.1965 | 0.00000 | 0.3000 | 2.0000 | 3.04332 | +2.81250 | 1.473e-06
 3.450 |   3.177 |   28.52 | 1.1781 | 0.00000 | 0.3000 | 2.0000 | 2.95582 | +2.72563 | 8.501e-07
 3.400 |   3.215 |   28.44 | 1.1598 | 0.00000 | 0.3000 | 2.0000 | 2.87030 | +2.64000 | 8.791e-07
 3.350 |   3.415 |   29.85 | 1.1416 | 0.00000 | 0.3000 | 2.0000 | 2.78657 | +2.55563 | 8.241e-07
 3.300 |   3.567 |   30.76 | 1.1234 | 0.00000 | 0.3000 | 2.0000 | 2.70398 | +2.47250 | 8.228e-07
 3.250 |   3.590 |   30.47 | 1.1050 | 0.00000 | 0.3000 | 2.0000 | 2.62215 | +2.39062 | 9.973e-07
 3.200 |   3.642 |   30.43 | 1.0866 | 0.00000 | 0.3000 | 2.0000 | 2.54119 | +2.31000 | 1.143e-06
 3.150 |   3.713 |   30.53 | 1.0682 | 0.00000 | 0.3000 | 2.0000 | 2.46223 | +2.23062 | 8.858e-07
 3.100 |   3.751 |   30.34 | 1.0498 | 0.00000 | 0.3000 | 2.0000 | 2.38412 | +2.15250 | 1.241e-06
 3.050 |   3.932 |   31.33 | 1.0314 | 0.00000 | 0.3000 | 2.0000 | 2.30768 | +2.07562 | 8.966e-07
 3.000 |   3.974 |   31.12 | 1.0129 | 0.00000 | 0.3000 | 2.0000 | 2.23175 | +2.00000 | 1.143e-06
 2.950 |   4.092 |   31.52 | 0.9945 | 0.00000 | 0.3000 | 2.0000 | 2.15788 | +1.92563 | 9.501e-07
 2.900 |   4.189 |   31.71 | 0.9759 | 0.00000 | 0.3000 | 2.0000 | 2.08491 | +1.85250 | 1.012e-06
 2.850 |   4.394 |   32.72 | 0.9574 | 0.00000 | 0.3000 | 2.0000 | 2.01341 | +1.78063 | 9.524e-07
 2.800 |   4.491 |   32.84 | 0.9390 | 0.00000 | 0.3000 | 2.0000 | 1.94330 | +1.71000 | 1.225e-06
 2.750 |   4.820 |   34.66 | 0.9204 | 0.00000 | 0.3000 | 2.0000 | 1.87420 | +1.64062 | 1.306e-06
 2.700 |   5.795 |   41.12 | 0.9020 | 0.00000 | 0.3000 | 2.0000 | 1.80717 | +1.57250 | 1.727e-06
 2.650 |   5.959 |   41.46 | 0.8833 | 0.00000 | 0.3000 | 2.0000 | 1.74028 | +1.50562 | 6.759e-07
 2.600 |   6.259 |   42.71 | 0.8646 | 0.00000 | 0.3000 | 2.0000 | 1.67492 | +1.44000 | 6.724e-07
 2.550 |   6.234 |   41.64 | 0.8457 | 0.00000 | 0.3000 | 2.0000 | 1.61047 | +1.37562 | 7.727e-07
 2.500 |   6.697 |   43.85 | 0.8270 | 0.00000 | 0.3000 | 2.0000 | 1.54779 | +1.31250 | 8.225e-07
 2.450 |   6.851 |   43.89 | 0.8079 | 0.00000 | 0.3000 | 2.0000 | 1.48552 | +1.25063 | 1.089e-06
